;; -*- coding: utf-8-mcs-er -*-
HZK12-C977	&HZK12-C977;	⿱𠂹一&B-B3BE;
HZK12-C978	&HZK12-C978;	⿱&GT-17338;&B-B3BE;
HZK12-C979	&HZK12-C979;	⿰&B-B3BE;從
HZK12-C97A	&HZK12-C97A;	⿱從&B-B3BE;
HZK12-C97B	&HZK12-C97B;	⺤&B-A8A8;&B-B3BE;
HZK12-C97C	&HZK12-C97C;	⿰&B-D7F5;&B-B3BE;
HZK12-C9AA	&HZK12-C9AA;	⿰&B-B3BE;&B-B3BE;
HZK12-A5E6	&HZK12-A5E6;	⿰&B-ADB5;出
HZK12-A5E8	&HZK12-A5E8;	⿰&B-ADB5;共
HZK12-A5E9	&HZK12-A5E9;	⿰&B-ADB5;尗
HZK12-A5EA	&HZK12-A5EA;	⿰&B-ADB5;光
HZK12-A5EB	&HZK12-A5EB;	⿰&B-ADB5;同
HZK12-A5EC	&HZK12-A5EC;	⿱向&B-ADB5;
HZK12-A5ED	&HZK12-A5ED;	⿰&B-ADB5;合
HZK12-A5EE	&HZK12-A5EE;	⿰&B-ADB5;夅
HZK12-A5EF	&HZK12-A5EF;	⿰多&B-ADB5;
HZK12-A5F0	&HZK12-A5F0;	⿰&B-ADB5;&M-00291;
HZK12-A5F1	&HZK12-A5F1;	⿰&B-ADB5;巳廾
HZK12-A5F2	&HZK12-A5F2;	⿰&B-ADB5;孛
HZK12-A5F3	&HZK12-A5F3;	⿰&B-ADB5;束
HZK12-A5F4	&HZK12-A5F4;	⿰&B-ADB5;巠
HZK12-A5F5	&HZK12-A5F5;	⿰&B-ADB5;含
HZK12-A5F7	&HZK12-A5F7;	⿰&B-ADB5;&GT-07201;火
HZK12-A647	&HZK12-A647;	⿰&B-ADB5;&GT-44176;十
HZK12-A648	&HZK12-A648;	⿰&B-ADB5;&CDP-8CCB;
HZK12-A649	&HZK12-A649;	⿰&B-ADB5;&GT-00458;&GT-00387;
HZK12-A64A	&HZK12-A64A;	⿰&B-ADB5;念
HZK12-A64C	&HZK12-A64C;	⿰&B-ADB5;&CDP-8CAD;
HZK12-A64E	&HZK12-A64E;	⿰&GT-00406;&B-ADB5;
HZK12-A64F	&HZK12-A64F;	⿰&B-ADB5;&B-ADB5;
HZK12-A650	&HZK12-A650;	⿰&B-ADB5;十⺿木
HZK12-A651	&HZK12-A651;	⿰&B-ADB5;&B-B05E;
HZK12-A653	&HZK12-A653;	⿰&B-ADB5;生母
HZK12-A654	&HZK12-A654;	⿰&B-ADB5;芻
HZK12-A667	&HZK12-A667;	⿱&CDP-8BE3;&B-ADB5;
HZK12-A668	&HZK12-A668;	⿰&B-ADB5;巳&B-A8A5;
HZK12-A66A	&HZK12-A66A;	⿰&B-ADB5;莖
HZK12-A66B	&HZK12-A66B;	⿰&B-ADB5;莫
HZK12-A66D	&HZK12-A66D;	⿰&B-ADB5;&M-38901;
HZK12-A66E	&HZK12-A66E;	⿰&B-ADB5;宿
HZK12-A66F	&HZK12-A66F;	⿰&B-ADB5;&M-38892;
HZK12-A671	&HZK12-A671;	⿰&B-ADB5;菐
HZK12-A672	&HZK12-A672;	⿰&B-ADB5;&GT-17673;
HZK12-A673	&HZK12-A673;	⿰&B-ADB5;&GT-25270;
HZK12-A6AA	&HZK12-A6AA;	⿰&B-ADB5;業
HZK12-A6AB	&HZK12-A6AB;	⿰&B-ADB5;&B-B8BE;
HZK12-A6AC	&HZK12-A6AC;	⿰&B-ADB5;&GT-07201;&B-B05E;
HZK12-A6AD	&HZK12-A6AD;	⿰&B-ADB5;&GT-13782;
HZK12-A6AE	&HZK12-A6AE;	⿰&B-ADB5;&CDP-8D6B;&GT-39640;未
