;; -*- coding: utf-8-mcs-er -*-
U+2ECE8	𮳨	⿰火艮
U+2ECE9	𮳩	⿰火麦
U+2ECEA	𮳪	⿺免火
U+2ECEB	𮳫	⿰火芙
U+2ECEC	𮳬	⿰火连
U+2ECED	𮳭	⿰火责
U+2ECEE	𮳮	⿰火杰
U+2ECEF	𮳯	⿱勋灬
U+2ECF0	𮳰	⿰火苹
U+2ECF1	𮳱	⿰火贵
U+2ECF2	𮳲	⿰火泉
U+2ECF3	𮳳	⿰火总
U+2ECF4	𮳴	⿰火⿱日华
U+2ECF5	𮳵	⿰火家
U+2ECF6	𮳶	⿰火莹
U+2ECF7	𮳷	⿰火雪
U+2ECF8	𮳸	⿰火营
U+2ECF9	𮳹	⿰火萮
U+2ECFA	𮳺	⿰牛马
U+2ECFB	𮳻	⿰牛历
U+2ECFC	𮳼	⿰牛居
U+2ECFD	𮳽	⿰犭后
U+2ECFE	𮳾	⿰犭启
U+2ECFF	𮳿	⿱㹜㹜
U+2ED00	𮴀	⿰𤣩兀
U+2ED01	𮴁	⿰𤣩小
U+2ED02	𮴂	⿰𤣩义
U+2ED03	𮴃	⿰𤣩也
U+2ED04	𮴄	⿰𤣩中
U+2ED05	𮴅	⿰𤣩仑
U+2ED06	𮴆	⿰𤣩风
U+2ED07	𮴇	⿰𤣩凤
U+2ED08	𮴈	⿰𤣩尺
U+2ED09	𮴉	⿰𤣩只
U+2ED0A	𮴊	⿰𤣩处
U+2ED0B	𮴋	⿰𤣩市
U+2ED0C	𮴌	⿰𤣩兰
U+2ED0D	𮴍	⿰𤣩出
U+2ED0E	𮴎	⿰𤣩圣
U+2ED0F	𮴏	⿰𤣩亚
U+2ED10	𮴐	⿰𤣩臣
U+2ED11	𮴑	⿰𤣩夹
U+2ED12	𮴒	⿰𤣩岂
U+2ED13	𮴓	⿰𤣩乔
U+2ED14	𮴔	⿰𤣩华
U+2ED15	𮴕	⿰𤣩庆
U+2ED16	𮴖	⿰𤣩问
U+2ED17	𮴗	⿰𤣩尧
U+2ED18	𮴘	⿰𤣩达
U+2ED19	𮴙	⿰𤣩走
U+2ED1A	𮴚	⿰𤣩坚
U+2ED1B	𮴛	⿰𤣩何
U+2ED1C	𮴜	⿰𤣩皂
U+2ED1D	𮴝	⿰𤣩甸
U+2ED1E	𮴞	⿰𤣩尾
U+2ED1F	𮴟	⿰𤣩岺
U+2ED20	𮴠	⿰𤣩丽
U+2ED21	𮴡	⿱王玨
U+2ED22	𮴢	⿰𤣩昇
U+2ED23	𮴣	⿰𤣩受
U+2ED24	𮴤	⿰𤣩承
U+2ED25	𮴥	⿰𤣩凯
U+2ED26	𮴦	⿰𤣩复
U+2ED27	𮴧	⿰𤣩食
U+2ED28	𮴨	⿰𤣩总
U+2ED29	𮴩	⿰𤣩息
U+2ED2A	𮴪	⿰𤣩臭
U+2ED2B	𮴫	⿰𤣩翁
U+2ED2C	𮴬	⿰𤣩梦
U+2ED2D	𮴭	⿰𤣩晨
U+2ED2E	𮴮	⿰𤣩尉
U+2ED2F	𮴯	⿰𤣩𧰮
U+2ED30	𮴰	⿰𤣩密
U+2ED31	𮴱	⿰𤣩菊
U+2ED32	𮴲	⿰𤣩期
U+2ED33	𮴳	⿰𤣩雬
U+2ED34	𮴴	⿰𤣩掌
U+2ED35	𮴵	⿰𤣩强
U+2ED36	𮴶	⿰𤣩营
U+2ED37	𮴷	⿰𤣩維
U+2ED38	𮴸	⿰𤣩蔡
U+2ED39	𮴹	⿰𤣩𬞕
U+2ED3A	𮴺	⿰𤣩嬴
U+2ED3B	𮴻	⿺瓜白
U+2ED3C	𮴼	⿰南瓦
U+2ED3D	𮴽	⿺𠃊田
U+2ED3E	𮴾	⿰田未
U+2ED3F	𮴿	⿰田鸟
U+2ED40	𮵀	⿰田华
U+2ED41	𮵁	⿱田华
U+2ED42	𮵂	⿱田狂
U+2ED43	𮵃	⿰田敦
U+2ED44	𮵄	⿰白今
U+2ED45	𮵅	⿰目义
U+2ED46	𮵆	⿰目韦
U+2ED47	𮵇	⿰目東
U+2ED48	𮵈	⿰目罙
U+2ED49	𮵉	⿰石久
U+2ED4A	𮵊	⿰石韦
U+2ED4B	𮵋	⿰石升
U+2ED4C	𮵌	⿰石孔
U+2ED4D	𮵍	⿰石舌
U+2ED4E	𮵎	⿱石𪢴
U+2ED4F	𮵏	⿰石再
U+2ED50	𮵐	⿱石兆
U+2ED51	𮵑	⿰石㐫
U+2ED52	𮵒	⿱羽石
U+2ED53	𮵓	⿰石岩
U+2ED54	𮵔	⿰石奂
U+2ED55	𮵕	⿰石茂
U+2ED56	𮵖	⿰石禹
U+2ED57	𮵗	⿰石施
U+2ED58	𮵘	⿰礻仁
U+2ED59	𮵙	⿰礻仑
U+2ED5A	𮵚	⿰礻圣
U+2ED5B	𮵛	⿰礻则
U+2ED5C	𮵜	⿰礻伟
U+2ED5D	𮵝	⿰礻苗
U+2ED5E	𮵞	⿰礻室
U+2ED5F	𮵟	⿰礻新
U+2ED60	𮵠	⿰禾韦
U+2ED61	𮵡	⿰禾名
U+2ED62	𮵢	⿰禾县
U+2ED63	𮵣	⿱美禾
U+2ED64	𮵤	⿰禾甚
U+2ED65	𮵥	⿰立尤
U+2ED66	𮵦	⿰立冬
U+2ED67	𮵧	⿰立寿
U+2ED68	𮵨	⿰立武
U+2ED69	𮵩	⿰立爽
U+2ED6A	𮵪	⿰立習
U+2ED6B	𮵫	⿱𥫗了
U+2ED6C	𮵬	⿱𥫗王
U+2ED6D	𮵭	⿱𥫗风
U+2ED6E	𮵮	⿱𥫗鸟
U+2ED6F	𮵯	⿱𥫗夗
U+2ED70	𮵰	⿱𥫗州
U+2ED71	𮵱	⿱𥫗来
U+2ED72	𮵲	⿱𥫗妥
U+2ED73	𮵳	⿳𥫗冖玉
U+2ED74	𮵴	⿱𥫗枝
U+2ED75	𮵵	⿱𥫗奋
U+2ED76	𮵶	⿱𥫗宝
U+2ED77	𮵷	⿱𥫗津
U+2ED78	𮵸	⿱𥫗晶
U+2ED79	𮵹	⿱𥫗魏
U+2ED7A	𮵺	⿱𢼄米
U+2ED7B	𮵻	⿰米並
U+2ED7C	𮵼	⿴𥹫田
U+2ED7D	𮵽	⿰米章
U+2ED7E	𮵾	⿱𰯯糸
U+2ED7F	𮵿	⿰纟叉
U+2ED80	𮶀	⿰纟玉
U+2ED81	𮶁	⿰纟册
U+2ED82	𮶂	⿰纟夆
U+2ED83	𮶃	⿰纟條
U+2ED84	𮶄	⿰纟乘
U+2ED85	𮶅	⿰纟容
U+2ED86	𮶆	⿰纟⿱匆匆
U+2ED87	𮶇	⿱㓁廾
U+2ED88	𮶈	⿺九羽
U+2ED89	𮶉	⿰羽半
U+2ED8A	𮶊	⿱羽必
U+2ED8B	𮶋	⿰羽虫
U+2ED8C	𮶌	⿺先羽
U+2ED8D	𮶍	⿰冲羽
U+2ED8E	𮶎	⿰景羽
U+2ED8F	𮶏	⿰耳匀
U+2ED90	𮶐	⿰耳由
U+2ED91	𮶑	⿰耳玉
U+2ED92	𮶒	⿰耳圭
U+2ED93	𮶓	⿰耳尧
U+2ED94	𮶔	⿰月韦
U+2ED95	𮶕	⿰月⿱乂十
U+2ED96	𮶖	⿱自夂
U+2ED97	𮶗	⿰舟干
U+2ED98	𮶘	⿰舟云
U+2ED99	𮶙	⿰舟监
U+2ED9A	𮶚	⿰舟戠
U+2ED9B	𮶛	⿱艹七
U+2ED9C	𮶜	⿱艹三
U+2ED9D	𮶝	⿱艹义
U+2ED9E	𮶞	⿱艹飞
U+2ED9F	𮶟	⿱艹兰
U+2EDA0	𮶠	⿱艹布
U+2EDA1	𮶡	⿱艹叶
U+2EDA2	𮶢	⿱艹床
U+2EDA3	𮶣	⿱艹冷
U+2EDA4	𮶤	⿱艹沄
U+2EDA5	𮶥	⿱艹沪
U+2EDA6	𮶦	⿱艹玫
U+2EDA7	𮶧	⿱艹佩
U+2EDA8	𮶨	⿱艹⿵门禾
U+2EDA9	𮶩	⿱艹狱
U+2EDAA	𮶪	⿱艹⿰立匀
U+2EDAB	𮶫	⿱艹浊
U+2EDAC	𮶬	⿱艹钱
U+2EDAD	𮶭	⿱艹⿺永生
U+2EDAE	𮶮	⿱艹被
U+2EDAF	𮶯	⿱艹現
U+2EDB0	𮶰	⿱艹𭎮
U+2EDB1	𮶱	⿱艹淳
U+2EDB2	𮶲	⿱艹惜
U+2EDB3	𮶳	⿱艹维
U+2EDB4	𮶴	⿱艹𢛧
U+2EDB5	𮶵	⿱艹渲
U+2EDB6	𮶶	⿱艹溓
U+2EDB7	𮶷	⿱艹满
U+2EDB8	𮶸	⿱艹瑾
U+2EDB9	𮶹	⿱艹澜
U+2EDBA	𮶺	⿸虍目
U+2EDBB	𮶻	⿹飞虫
U+2EDBC	𮶼	⿰虫示
U+2EDBD	𮶽	⿰虫永
U+2EDBE	𮶾	⿰虫孝
U+2EDBF	𮶿	⿱衣内
U+2EDC0	𮷀	⿰衤玉
U+2EDC1	𮷁	⿰衤员
U+2EDC2	𮷂	⿰衤室
U+2EDC3	𮷃	⿰衤翼
U+2EDC4	𮷄	⿱丿觉
U+2EDC5	𮷅	⿰讠东
U+2EDC6	𮷆	⿰讠田
U+2EDC7	𮷇	⿰讠乐
U+2EDC8	𮷈	⿰讠奇
U+2EDC9	𮷉	⿰讠易
