;; -*- coding: utf-8-mcs-er -*-
U-0002F93A	瘐	⿸&JX1-784C;㬰
U-0002F93B	𤾡	⿰白為
U-0002F93C	𤾸	𤾸
U-0002F93D	𥁄	⿱亏皿
U-0002F93E	㿼	⿱&GT-11552;皿
U-0002F93F	䀈	⿱&M-13724;皿
U-0002F940	直	直
U-0002F941	𥃳	⿰目亏
U-0002F942	𥃲	⿱目廾
U-0002F943	𥄙	⿰目&U-000244EF;
U-0002F944	𥄳	&JSP-4E5F;
U-0002F945	眞	&GT-29751;
U-0002F946	真	&GT-29752;
U-0002F947	真	⿱直&AJ1-03392;
U-0002F948	&C6-4248;	⿰目䏍
U-0002F949	䀹	⿰目夾
U-0002F94A	瞋	⿰目&GT-29751;
U-0002F94B	䁆	⿰目𡘹
U-0002F94C	&U-0002F94C;	&UU+4096;
U-0002F94D	𥐝	⿰石⿹勹一
U-0002F94E	硎	⿰石&C3-275C;
U-0002F94F	碌	⿰石&G0-423C;
U-0002F950	磌	⿰石真
U-0002F951	䃣	⿰石&GT-25270;
U-0002F952	𥘦	⿰&GT-31488;攵
U-0002F953	祖	⿰&U-000244EF;且
U-0002F954	𥚚	𥚚
U-0002F955	𥛅	⿰&GT-31488;⿱卯田
U-0002F956	福	⿰&GT-31488;⿳一&CDP-89CC;田
U-0002F957	秫	⿰禾术
U-0002F958	䄯	⿰禾&GT-11552;
U-0002F959	穀	⿰⿳士冖禾&GT-21300;
U-0002F95A	&U-0002F95A;	⿰禾&M-13724;
U-0002F95B	穏	⿰禾⿳&GT-25225;&GT-67403;心
U-0002F95C	&C6-5F75;	&C6-4C52;
U-0002F95D	𥪧	⿰&GT-33181;&GT-29751;
U-0002F95E	𥪧	⿰&GT-33181;真
U-0002F95F	&U-0002F95F;	⿰&GT-33181;&C3-3543;
U-0002F960	䈂	⿱竹&C3-2863;
U-0002F961	&C6-6023;	&M-26183;
U-0002F962	篆	⿱竹⿱&GT-12503;&U-00027C28;
U-0002F963	築	⿱𥬑木
U-0002F964	&C7-413C;	⿱竹&GT-25270;
U-0002F965	𥲀	⿱竹巢
U-0002F966	糒	&GT-34890;
U-0002F967	&U-0002F967;	⿱&M-13724;&GT-34594;
U-0002F968	糨	⿰&GT-34594;强
U-0002F969	&U-0002F969;	&C3-5855;
U-0002F96A	紀	⿰&GT-35079;已
U-0002F96B	&C6-3366;	&C6-2D52;
U-0002F96C	絣	⿰&GT-35079;&C3-2863;
U-0002F96D	䌁	⿰&GT-35079;&GT-46811;
U-0002F96E	緇	⿰&GT-35079;甾
U-0002F96F	縂	⿰&GT-35079;⿳&AJ1-03392;口心
U-0002F970	&C4-6426;	⿰&GT-35079;巢
U-0002F971	䌴	⿰&GT-35079;𡣍
U-0002F972	&C6-4C72;	⿰缶&GT-11552;
U-0002F973	𦉇	⿰缶&C3-3543;
U-0002F974	䍙	⿱罒每
U-0002F975	𦋙	⿱网𡘹
U-0002F976	罺	⿱罒巢
U-0002F977	𦌾	&C5-777A;
U-0002F978	羕	⿱𦍌𣱵
U-0002F979	翺	⿰⿱自&AJ1-14301;&GT-36833;
U-0002F97A	者	&GT-37308;
U-0002F97B	𦓚	&C5-4867;
U-0002F97C	𦔣	⿰&GT-37363;⿱&GT-14557;&GT-21437;
U-0002F97D	&C6-605D;	⿰&GT-37565;&C3-2863;
U-0002F97E	&U-0002F97E;	⿱刺&GT-37565;
U-0002F97F	聰	⿰&GT-37565;&JSP-3D79;
U-0002F980	&C6-287B;	⿱⿱冖一⺼
U-0002F981	䏕	䏕
U-0002F982	育	⿱⿱&AJ1-04110;厶&GT-18140;
U-0002F983	&C3-3350;	&JSP-5628;
U-0002F984	&U-0002F984;	&UU+440B;
U-0002F985	&C6-4D48;	𦜉
U-0002F986	媵	⿰⺼⿱&GT-K01769;&AJ1-02433;
U-0002F987	𦞧	⿰&GT-18140;留
U-0002F988	𦞵	⿰&GT-18140;⿱白本
U-0002F989	&C4-4C56;	⿰&GT-18140;&GT-17256;
U-0002F98A	&C4-582D;	⿰⺼&J90-7366;
U-0002F98B	舁	⿱𦥑&GT-12077;
U-0002F98C	&U-0002F98C;	舄
U-0002F98D	&C3-4425;	&GT-51568;
U-0002F98E	&C6-6125;	⿰&GT-39269;&C3-2863;
U-0002F98F	&U-0002F98F;	⿱&GT-39639;已
U-0002F990	芋	芋
U-0002F991	&GT-39691;	&GT-39691;
U-0002F992	劳	劳
U-0002F993	花	&GT-39726;
U-0002F994	芳	⿱艸&GT-17214;
U-0002F995	&U-0002F995;	&GT-39848;
U-0002F996	苦	苦
U-0002F997	&U-0002F997;	⿱&GT-39639;&G0-367B;
U-0002F998	若	若
U-0002F999	&U-0002F999;	⿱&GT-39639;𦣝
U-0002F99A	荣	荣
U-0002F99B	莭	⿱卝即
U-0002F99C	&U-0002F99C;	⿱&GT-39639;吴
U-0002F99D	莽	⿳&GT-39639;大&GT-12077;
U-0002F99E	&U-0002F99E;	⿱&GT-39639;㡳
U-0002F99F	著	著
U-0002F9A0	荓	⿱&GT-39639;&C3-2863;
U-0002F9A1	菊	&GT-40610;
U-0002F9A2	菌	&GT-40632;
U-0002F9A3	&C6-443D;	&GT-40679;
U-0002F9A4	𦰶	&C6-4D70;
U-0002F9A5	&U-0002F9A5;	⿱&GT-39639;⿱⿱丅冖&GT-35079;
U-0002F9A6	&U-0002F9A6;	⿱&GT-40157;廾
U-0002F9A7	䔫	⿱&GT-39639;⿰𤴔朿
U-0002F9A8	&U-0002F9A8;	⿱&GT-39639;洴
U-0002F9A9	蓳	&UU+84F3;
U-0002F9AA	蔖	⿱&GT-39639;⿸&GT-44176;旦
U-0002F9AB	𧏊	𧏊
U-0002F9AC	蕤	⿺⿱&GT-39639;&GT-48747;生
U-0002F9AD	𦼬	⿱⿱卝沮皿
U-0002F9AE	䕝	⿱&GT-39639;&GT-32460;
U-0002F9AF	䕡	⿱&GT-39639;⿵&GT-55423;吕
U-0002F9B0	𦾱	⿱&GT-39639;摷
U-0002F9B1	𧃒	⿱&GT-39639;&GT-35905;
U-0002F9B2	䕫	⿱&GT-39639;⿱⿲止自㔾⿱&AJ1-03392;夂
U-0002F9B3	虐	⿸&GT-44176;&CDP-8DC1;
U-0002F9B4	&U-0002F9B4;	⿸&GT-44176;男
U-0002F9B5	虧	⿰&UU+96D0;亐
U-0002F9B6	虩	⿰𡭽&GT-44178;
U-0002F9B7	&J90-6950;	⿱㞢虫
U-0002F9B8	蚈	⿰虫&GT-11552;
U-0002F9B9	蜎	⿰虫䏍
U-0002F9BA	&C4-467C;	⿰虫&C3-2863;
U-0002F9BB	蝹	⿰虫昷
U-0002F9BC	蜨	⿰虫⿳⺊&GT-12503;龰
U-0002F9BD	蝫	⿰虫者
U-0002F9BE	螆	⿰虫兹
U-0002F9BF	䗗	⿰虫筓
U-0002F9C0	蟡	⿰虫&GT-25270;
U-0002F9C1	&JX2-777A;	⿱&HD-JC-7C6C;虫
U-0002F9C2	&C4-643F;	⿰虫&U-0002F8A6;
U-0002F9C3	衠	⿲彳&GT-29751;亍
U-0002F9C4	衣	&GT-45972;
U-0002F9C5	&C5-303E;	⿰&JX2-7828;开
U-0002F9C6	裗	⿰&JX2-7828;⿳&AJ1-04110;厶&GT-10942;
U-0002F9C7	裞	⿰&JX2-7828;兑
U-0002F9C8	䘵	⿰&JX2-7828;&G0-423C;
U-0002F9C9	&U-0002F9C9;	⿰&JX2-7828;𡘹
U-0002F9CA	㒻	⿱日見
U-0002F9CB	𧢮	&C4-6E3B;
U-0002F9CC	&C6-3C2D;	⿰&GT-47348;亏
U-0002F9CD	䚾	䚾
U-0002F9CE	䛇	⿰&GT-47348;⿱几口
U-0002F9CF	誠	⿰&GT-47348;⿵戊丅
U-0002F9D0	諭	⿰&GT-47348;&AJ1-04216;
U-0002F9D1	變	⿱&JX2-786B;夂
U-0002F9D2	&C6-292A;	&GT-48747;
U-0002F9D3	&C6-5850;	⿰豸&GT-11552;
U-0002F9D4	貫	⿱母貝
U-0002F9D5	賁	⿱𠦄貝
