;; -*- coding: utf-8-mcs-er -*-
HZK02-A445	&HZK02-A445;	⿱⺊厈
HZK02-A8D8	&HZK02-A8D8;	⿰土冉
HZK02-A8D9	&HZK02-A8D9;	⿰土由
HZK02-A8F1	&HZK02-A8F1;	⿰土&CDP-8BAD;
HZK02-A8F2	&I-HZK02-A8F2;	⿰土凹
HZK02-A8F4	&HZK02-A8F4;	⿰土册
HZK02-A8F6	&I-HZK02-A8F6;	⿰土矢
HZK02-A8F7	&HZK02-A8F7;	⿰土㐌
HZK02-A8F9	&HZK02-A8F9;	⿱丘土
HZK02-A8FA	&I-HZK02-A8FA;	⿰土付
HZK02-A952	&I-HZK02-A952;	⿱代土
HZK02-A954	&I-HZK02-A954;	⿰土瓜
HZK02-A956	&HZK02-A956;	凵㐅一土
HZK02-A959	&HZK02-A959;	⿰土用
HZK02-A95A	&HZK02-A95A;	丿土乚土
HZK02-A972	&I-HZK02-A972;	⿰土句
HZK02-A973	&HZK02-A973;	⿱土句
HZK02-A974	&HZK02-A974;	⿰土卯
HZK02-A975	&HZK02-A975;	⿱卯土
HZK02-A976	&I-HZK02-A976;	⿰土包
HZK02-A978	&HZK02-A978;	⿰土&GT-26647;
HZK02-A9B5	&HZK02-A9B5;	⿳土&GT-39640;儿
HZK02-A9B6	&I-HZK02-A9B6;	⿰土&M-07055;
HZK02-A9B7	&I-HZK02-A9B7;	⿰土&B-A5DE;
HZK02-A9B8	&HZK02-A9B8;	土&GT-08869;儿
HZK02-A9BB	&HZK02-A9BB;	土冖&CDP-88AF;
HZK02-A9BC	&HZK02-A9BC;	⿱必土
HZK02-A9BE	&HZK02-A9BE;	⿱尼土
HZK02-A9BF	&HZK02-A9BF;	⿰土尻
HZK02-A9C0	&HZK02-A9C0;	土巳十
HZK02-A9C2	&HZK02-A9C2;	⿱士&CDP-87A8;
HZK02-A9D5	&HZK02-A9D5;	⿳土&CDP-89C2;&CDP-8CC6;
HZK02-A9D6	&HZK02-A9D6;	⿰土弁
HZK02-A9D7	&HZK02-A9D7;	⿱弁土
HZK02-A9D8	&HZK02-A9D8;	⿳厶大土
HZK02-A9D9	&I-HZK02-A9D9;	⿰土台
HZK02-A9DA	&I-HZK02-A9DA;	⿳厶山土
HZK02-A9DD	&HZK02-A9DD;	⿱&CDP-8CE9;土
HZK02-A9F5	&HZK02-A9F5;	&CDP-8DF6;士
HZK02-A9F6	&HZK02-A9F6;	⿱&CDP-8C6F;土
HZK02-A9F7	&I-HZK02-A9F7;	⺘&GT-00132;土
HZK02-A9F8	&HZK02-A9F8;	&CDP-8BDF;土
HZK02-A9F9	&I-HZK02-A9F9;	⿰土共
HZK02-A9FA	&HZK02-A9FA;	⿱士&CDP-87A7;
HZK02-A9FB	&HZK02-A9FB;	⿰土&GT-39650;
HZK02-A9FC	&I-HZK02-A9FC;	⿰土亚
HZK02-A9FD	&I-HZK02-A9FD;	⿱亚土
HZK02-AA56	&HZK02-AA56;	⿰土&GT-K01640;
HZK02-AA58	&HZK02-AA58;	土一卯
HZK02-AA59	&HZK02-AA59;	⿰土列
HZK02-AA5A	&HZK02-AA5A;	⿱&C1-483B;土
HZK02-AA5C	&HZK02-AA5C;	⿱邪土
HZK02-AA5E	&HZK02-AA5E;	⿱&CDP-8DBF;土
HZK02-AA5F	&HZK02-AA5F;	⿱&C1-483A;土
HZK02-AA75	&HZK02-AA75;	⺊冂&M-03115;土
HZK02-AA78	&HZK02-AA78;	⿰土因
HZK02-AA79	&HZK02-AA79;	⿱因土
HZK02-AA7B	&HZK02-AA7B;	山&CDP-8972;土
HZK02-AA7C	&HZK02-AA7C;	⿰土回
HZK02-AA7D	&I-HZK02-AA7D;	土山己
HZK02-AAA1	&HZK02-AAA1;	⿰土&CDP-88DA;
HZK02-AAA2	&HZK02-AAA2;	⿰土印
HZK02-AAA4	&HZK02-AAA4;	⿰土伐
HZK02-AAA5	&I-HZK02-AAA5;	⿱伐土
HZK02-AAA6	&HZK02-AAA6;	⿱件土
HZK02-AAA7	&I-HZK02-AAA7;	⿰土&B-A6DB;
HZK02-AAA8	&I-HZK02-AAA8;	⿰土𠂤
HZK02-AAA9	&I-HZK02-AAA9;	⿰土向
HZK02-AAB9	&HZK02-AAB9;	彳士土
HZK02-AABB	&HZK02-AABB;	⿱合土
HZK02-AABD	&HZK02-AABD;	⿱&CDP-8BB8;土
HZK02-AAD7	&I-HZK02-AAD7;	土乃木
HZK02-AAD9	&HZK02-AAD9;	勹&CDP-8A73;土
HZK02-AADA	&HZK02-AADA;	⿱&B-A6DF;土
HZK02-AADB	&I-HZK02-AADB;	⿰土各
HZK02-AADC	&HZK02-AADC;	⿲土⿱勺勺
HZK02-AADD	&I-HZK02-AADD;	⿰土多
HZK02-AADE	&HZK02-AADE;	土&CDP-8B5E;㔾
HZK02-AADF	&HZK02-AADF;	土&GT-11620;乇
HZK02-AAE0	&HZK02-AAE0;	⿰土&M-00291;
HZK02-AAE1	&I-HZK02-AAE1;	⿰土&CDP-8C5E;
HZK02-AAE2	&I-HZK02-AAE2;	⿱&M-15992;土
HZK02-AAF8	&HZK02-AAF8;	⿱汗土
HZK02-AAF9	&I-HZK02-AAF9;	⿰土&GT-08887;
HZK02-AAFE	&I-HZK02-AAFE;	⿱&B-A6E1;土
