;; -*- coding: utf-8-mcs-er -*-
C2-2521	&M-30669;	⿱⺿千
C2-2522	&M-30662;	⿱⺿凡
C2-2523	&C2-2523;	⿱⺿&GT-00132;
C2-2524	&I-C2-2524;	豸
C2-2525	&C2-2525;	⿺⻎𡰣
C2-2526	&C2-2526;	⿺⻎山
C2-2527	&C2-2527;	⿰亢⻏
C2-2528	&I-C2-2528;	⿰方⻏
C2-2529	&I-C2-2529;	⿰冘⻏
C2-252A	&M-39293;	⿰夫⻏
C2-252B	&I-C2-252B;	⿰元⻏
C2-252C	&I-C2-252C;	⿰&C1-4521;⻏
C2-252D	&I-C2-252D;	⿰⻖比
C2-252E	&I-C2-252E;	⿰⻖厄
C2-252F	&I-C2-252F;	⿰⻖止
C2-2530	&I-C2-2530;	⿰⻖允
C2-2531	&I-C2-2531;	丳
C2-2532	&C2-2532;	⿰⺅&C1-4777;
C2-2533	&I-C2-2533;	⿰⺅交
C2-2534	&C2-2534;	⿰⺅亥
C2-2535	&C2-2535;	⿰⺅&C1-4839;
C2-2536	&I-C2-2536;	⿰⺅刑
C2-2537	&I-C2-2537;	⿰⺅夷
C2-2538	&I-C2-2538;	⿰⺅吉
C2-2539	&I-C2-2539;	⿰⺅&C1-4856;
C2-253A	&I-C2-253A;	⿰⺅夸
C2-253B	&I-C2-253B;	⿰⺅至
C2-253C	&I-C2-253C;	⿰⺅艮
C2-253D	&C2-253D;	⿰⺅&C1-483A;
C2-253E	&I-C2-253E;	⿰⺅同
C2-253F	&I-C2-253F;	⿰⺅回
C2-2540	&I-C2-2540;	⿰⺅旬
C2-2541	&I-C2-2541;	⿰⺅危
C2-2542	&I-C2-2542;	⿰⺅先
C2-2543	&I-C2-2543;	⿰⺅舌
C2-2544	&I-C2-2544;	⿰⺅血
C2-2545	&I-C2-2545;	⿰⺅舟
C2-2546	&I-C2-2546;	⿰⺅牟
C2-2547	&C2-2547;	⿰⺅&C1-4771;
C2-2548	&C2-2548;	⿰⺅&C1-4778;
C2-2549	&C2-2549;	⿰⺅&C3-2360;
C2-254A	&I-C2-254A;	⿰⺅而
C2-254B	&I-C2-254B;	⿰⺅各
C2-254C	&I-C2-254C;	⿰⺅合
C2-254D	&C2-254D;	⿱冖&C1-484D;
C2-254E	&I-C2-254E;	⿰冫先
C2-254F	&I-C2-254F;	⿰冫合
C2-2550	&I-C2-2550;	⿰&M-28999;刂
C2-2551	&I-C2-2551;	⿰圭刂
C2-2552	&I-C2-2552;	⿰夸刂
C2-2553	&I-C2-2553;	⿰&CDP-8C42;刂
C2-2554	&C2-2554;	⿰井&C3-2152;
C2-2555	&I-C2-2555;	⿰吉力
C2-2556	&C2-2556;	⿹勹&C1-484D;
C2-2557	&I-C2-2557;	⿹勹缶
C2-2558	&C2-2558;	⿷匚合
C2-2559	&I-C2-2559;	⿸厂缶
C2-255A	&I-C2-255A;	⿸厂至
C2-255B	&I-C2-255B;	⿰口必
C2-255C	&I-C2-255C;	⿰口去
C2-255D	&I-C2-255D;	⿰口甘
C2-255E	&I-C2-255E;	⿰口打
C2-255F	&I-C2-255F;	⿰口匝
C2-2560	&I-C2-2560;	⿰口弗
C2-2561	&I-C2-2561;	⿰口占
C2-2562	&I-C2-2562;	⿰口号
C2-2563	&I-C2-2563;	⿰口旦
C2-2564	&C2-2564;	⿰口冉
C2-2565	&I-C2-2565;	⿰口&C1-463E;
C2-2566	&I-C2-2566;	⿰口句
C2-2567	&I-C2-2567;	⿰口幼
C2-2568	&I-C2-2568;	⿰口台
C2-2569	&C2-2569;	⿰口平
C2-256A	&I-C2-256A;	⿰口民
C2-256B	&I-C2-256B;	⿰口本
C2-256C	&I-C2-256C;	⿰口布
C2-256D	&I-C2-256D;	⿰口母
C2-256E	&I-C2-256E;	⿰口&M-17027;
C2-256F	&C2-256F;	⿰口&GT-K01023;
C2-2570	&I-C2-2570;	⿴囗禾
C2-2571	&C2-2571;	⿴囗&GT-K01023;
C2-2572	&I-C2-2572;	⿰&GT-K00199;丕
C2-2573	&I-C2-2573;	⿰&GT-K00199;弗
C2-2574	&I-C2-2574;	⿰&GT-K00199;尼
