;; -*- coding: utf-8-mcs-er -*-
U-0002A80B	𪠋	⿸厂⿱口中？
U-0002A80C	𪠌	⿰⿸厂止⿱𠂉丨
U-0002A80D	𪠍	⿸厂旲
U-0002A80E	𪠎	⿸厂直
U-0002A80F	𪠏	⿸厂顷
U-0002A810	𪠐	⿸厂長
U-0002A811	𪠑	⿸厂忩
U-0002A812	𪠒	⿸厂⿱犬皮
U-0002A813	𪠓	⿸厂⿱佳一
U-0002A814	𪠔	⿸厂尃
U-0002A815	𪠕	⿸厂𣍮
U-0002A816	𪠖	⿸厂黄
U-0002A817	𪠗	⿸厂𣪘
U-0002A818	𪠘	⿸厂惟
U-0002A819	𪠙	⿸厂菐
U-0002A81A	𪠚	⿰厚台
U-0002A81B	𪠛	⿸厂解
U-0002A81C	𪠜	⿸厂⿰𦚏尤
U-0002A81D	𪠝	⿸厂⿱秝田
U-0002A81E	𪠞	⿸厂⿱吅敢
U-0002A81F	𪠟	⿰𠫓⿵𠘨帀
U-0002A820	𪠠	⿰去尼
U-0002A821	𪠡	⿰多去
U-0002A822	𪠢	⿰参冘
U-0002A823	𪠣	⿰矣亥
U-0002A824	𪠤	⿰参两
U-0002A825	𪠥	⿰去廣
U-0002A826	𪠦	⿱㐅又
U-0002A827	𪠧	⿰刀又
U-0002A828	𪠨	⿱又月
U-0002A829	𪠩	⿰圧又
U-0002A82A	𪠪	⿰西又
U-0002A82B	𪠫	⿱臼又
U-0002A82C	𪠬	⿱佘又
U-0002A82D	𪠭	⿰&CDP-8C7A;㕛
U-0002A82E	𪠮	⿰关反
U-0002A82F	𪠯	⿰⿱彐古又
U-0002A830	𪠰	⿱反阻
U-0002A831	𪠱	⿰容又
U-0002A832	𪠲	⿰區又
U-0002A833	𪠳	⿱叕刖
U-0002A834	𪠴	⿱取刼
U-0002A835	𪠵	⿱口又
U-0002A836	𪠶	⿰口车
U-0002A837	𪠷	⿰口匁
U-0002A838	𪠸	⿰口仑
U-0002A839	𪠹	⿰口⿺土人
U-0002A83A	𪠺	⿱史口
U-0002A83B	𪠻	⿰口乐
U-0002A83C	𪠼	⿱礻口
U-0002A83D	𪠽	⿰口执
U-0002A83E	𪠾	⿰口㐬
U-0002A83F	𪠿	⿰口肉
U-0002A840	𪡀	⿰口当
U-0002A841	𪡁	⿰口舟
U-0002A842	𪡂	⿰口竹
U-0002A843	𪡃	⿰口乔
U-0002A844	𪡄	⿰口充
U-0002A845	𪡅	⿰口⿱厶㐄
U-0002A846	𪡆	⿰口买
U-0002A847	𪡇	⿰口匣
U-0002A848	𪡈	⿻王吅
U-0002A849	𪡉	⿰口扲
U-0002A84A	𪡊	⿰口芉
U-0002A84B	𪡋	⿰口你
U-0002A84C	𪡌	⿰口伯
U-0002A84D	𪡍	⿰呂⿱𠂉丨
U-0002A84E	𪡎	⿰口豸
U-0002A84F	𪡏	⿰口佥
U-0002A850	𪡐	⿱㳄口
U-0002A851	𪡑	⿰吝⿱𠂉丨
U-0002A852	𪡒	⿰另令
U-0002A853	𪡓	⿰口连
U-0002A854	𪡔	⿰右回
U-0002A855	𪡕	⿱可汝
U-0002A856	𪡖	⿱口幸
U-0002A857	𪡗	⿰口昆
U-0002A858	𪡘	⿰口⿱罒廾
U-0002A859	𪡙	⿰吻勿
U-0002A85A	𪡚	⿰史因
U-0002A85B	𪡛	⿰口欣
U-0002A85C	𪡜	⿰⿱爻口丮
U-0002A85D	𪡝	⿰口⿰良卩
U-0002A85E	𪡞	⿰口⿱⺌生
U-0002A85F	𪡟	⿰口⿵门可
U-0002A860	𪡠	⿰古兑
U-0002A861	𪡡	⿰口巷
U-0002A862	𪡢	⿰口贵
U-0002A863	𪡣	⿰口俊
U-0002A864	𪡤	⿰口泉
U-0002A865	𪡥	⿰口訇
U-0002A866	𪡦	⿱⿶臼口川
U-0002A867	𪡧	⿰口⿱宀⿱一由
U-0002A868	𪡨	⿱派口
U-0002A869	𪡩	⿰口洪
U-0002A86A	𪡪	⿰口⿸疒⿱⺊了
U-0002A86B	𪡫	⿰口酋
U-0002A86C	𪡬	⿰口屎
U-0002A86D	𪡭	⿰口炭
U-0002A86E	𪡮	⿱䣅口
U-0002A86F	𪡯	⿰口袁
U-0002A870	𪡰	⿰百告
U-0002A871	𪡱	⿰口配
U-0002A872	𪡲	⿲口貝寸
U-0002A873	𪡳	⿰員门
U-0002A874	𪡴	⿱吅即
U-0002A875	𪡵	⿰口耗
U-0002A876	𪡶	⿱⿶臼口天
U-0002A877	𪡷	⿰咅台
U-0002A878	𪡸	⿰口記
U-0002A879	𪡹	⿰口涓
U-0002A87A	𪡺	⿰口冤
U-0002A87B	𪡻	⿰口除
U-0002A87C	𪡼	⿰口接
U-0002A87D	𪡽	⿱殸口
U-0002A87E	𪡾	⿰口赉
U-0002A87F	𪡿	⿰⿱艹旧古
U-0002A880	𪢀	⿳吅目大
U-0002A881	𪢁	⿰口⿱⿰刂𠀆⿳一八𠀆
U-0002A882	𪢂	⿰口笙
U-0002A883	𪢃	⿰口脛
U-0002A884	𪢄	⿲口囱攵
U-0002A885	𪢅	⿰口亳
U-0002A886	𪢆	⿰口着
U-0002A887	𪢇	⿰口⿳㐫八攵
U-0002A888	𪢈	⿰口翌
U-0002A889	𪢉	⿰口握
U-0002A88A	𪢊	⿰口𨔾
U-0002A88B	𪢋	⿰啉之
U-0002A88C	𪢌	⿰后娄
U-0002A88D	𪢍	⿰口筒
U-0002A88E	𪢎	⿰口衆
U-0002A88F	𪢏	⿲口亻贾
U-0002A890	𪢐	⿰口阑
U-0002A891	𪢑	⿰口結
U-0002A892	𪢒	⿰口聖
U-0002A893	𪢓	⿰唇池
U-0002A894	𪢔	⿰口赖
U-0002A895	𪢕	⿰口筨
U-0002A896	𪢖	⿰口数
U-0002A897	𪢗	⿰⿱永口？
U-0002A898	𪢘	⿰口廌
U-0002A899	𪢙	⿰口赘
U-0002A89A	𪢚	⿰口稳
U-0002A89B	𪢛	⿰口蜜
U-0002A89C	𪢜	⿰口辣
U-0002A89D	𪢝	⿰口⿳一口鬲
U-0002A89E	𪢞	⿰口撮
