;; -*- coding: utf-8-mcs-er -*-
U+31456	𱑖	⿳⺊冖㠯
U+31457	𱑗	⿰唄卜
U+31458	𱑘	⿰弋卩
U+31459	𱑙	⿰卩曷
U+3145A	𱑚	⿰卵弗
U+3145B	𱑛	⿱壯卵
U+3145C	𱑜	⿸厂支
U+3145D	𱑝	⿸厂西
U+3145E	𱑞	⿸厂带
U+3145F	𱑟	⿸厂查
U+31460	𱑠	⿸厂咱
U+31461	𱑡	⿰原危
U+31462	𱑢	⿱厶乙
U+31463	𱑣	⿰去丫
U+31464	𱑤	⿰去止
U+31465	𱑥	⿰贝去
U+31466	𱑦	⿰去曳
U+31467	𱑧	⿱厶洛
U+31468	𱑨	⿰厶埃
U+31469	𱑩	⿰去吹
U+3146A	𱑪	⿰去対
U+3146B	𱑫	⿰去客
U+3146C	𱑬	⿰去移
U+3146D	𱑭	⿰去尋
U+3146E	𱑮	⿱補去
U+3146F	𱑯	⿰參兎
U+31470	𱑰	⿰去⿱&CDP-88A5;回
U+31471	𱑱	⿱又工
U+31472	𱑲	⿱且又
U+31473	𱑳	⿱又主
U+31474	𱑴	⿰𠂤又
U+31475	𱑵	⿱又⿰彐口
U+31476	𱑶	⿰双及
U+31477	𱑷	⿱余又
U+31478	𱑸	⿰尙又
U+31479	𱑹	⿱𬇊又
U+3147A	𱑺	⿱炏又
U+3147B	𱑻	⿰反呂
U+3147C	𱑼	⿰&CDP-8968;⿱㐫⿱冖又
U+3147D	𱑽	⿳自罒又
U+3147E	𱑾	⿳龸⿰氵𨾴又
U+3147F	𱑿	⿰口乜
U+31480	𱒀	⿰口万
U+31481	𱒁	⿰口𪜀
U+31482	𱒂	⿰口𠃓
U+31483	𱒃	⿱口小
U+31484	𱒄	⿰口巳
U+31485	𱒅	⿱口屮
U+31486	𱒆	⿰口天
U+31487	𱒇	⿰口𪟽
U+31488	𱒈	⿰口曰
U+31489	𱒉	⿰口𡴯
U+3148A	𱒊	⿰口仁
U+3148B	𱒋	⿱爻口
U+3148C	𱒌	⿰口卬
U+3148D	𱒍	⿱㐅古
U+3148E	𱒎	⿰口双
U+3148F	𱒏	⿱巨口
U+31490	𱒐	⿰口戊
U+31491	𱒑	⿱丙口
U+31492	𱒒	⿱口目
U+31493	𱒓	⿰口汀
U+31494	𱒔	⿰口压
U+31495	𱒕	⿰否又
U+31496	𱒖	⿰口朴
U+31497	𱒗	⿰口巩
U+31498	𱒘	⿰口玎
U+31499	𱒙	⿰口⿱大干
U+3149A	𱒚	⿰口吏
U+3149B	𱒛	⿱吅亡
U+3149C	𱒜	⿰口尖
U+3149D	𱒝	⿰口务
U+3149E	𱒞	⿰口杀
U+3149F	𱒟	⿰口仰
U+314A0	𱒠	⿰口肋
U+314A1	𱒡	⿰口⿱䒑巾
U+314A2	𱒢	⿱亦口
U+314A3	𱒣	⿰口𠠼
U+314A4	𱒤	⿰口𡿪
U+314A5	𱒥	⿰口如
U+314A6	𱒦	⿰口寿
U+314A7	𱒧	⿰口报
U+314A8	𱒨	⿰口医
U+314A9	𱒩	⿰口杉
U+314AA	𱒪	⿰口𡗢
U+314AB	𱒫	⿰口抉
U+314AC	𱒬	⿰口扵
U+314AD	𱒭	⿱⿱一&U-i001+2FFB;⿰丨丨丷可
U+314AE	𱒮	⿰末台
U+314AF	𱒯	⿰口卣
U+314B0	𱒰	⿰口⿱艹寸
U+314B1	𱒱	⿱余口
U+314B2	𱒲	⿰口𪜭
U+314B3	𱒳	⿰口狂
U+314B4	𱒴	⿰口估
U+314B5	𱒵	⿰口役
U+314B6	𱒶	⿰口闷
U+314B7	𱒷	⿱主叱
U+314B8	𱒸	⿰口𰿩
U+314B9	𱒹	⿰口汲
U+314BA	𱒺	⿰口沚
U+314BB	𱒻	⿰口张
U+314BC	𱒼	⿰口⿱乃田
U+314BD	𱒽	⿰口杯
U+314BE	𱒾	⿰口杰
U+314BF	𱒿	⿰口𣏚
U+314C0	𱓀	⿰口⿱三皿
U+314C1	𱓁	⿰口苏
U+314C2	𱓂	⿰品丁
U+314C3	𱓃	⿰甲合
U+314C4	𱓄	⿰口𱽐
U+314C5	𱓅	⿰口乖
U+314C6	𱓆	⿰口廹
U+314C7	𱓇	⿰口肫
U+314C8	𱓈	⿰口㸒
U+314C9	𱓉	⿰口⿹勹百
U+314CA	𱓊	⿰口佳
U+314CB	𱓋	⿰口供
U+314CC	𱓌	⿰口迭
U+314CD	𱓍	⿰口⿱氏月
U+314CE	𱓎	⿱㐅⿳口䒑口
U+314CF	𱓏	⿰口初
U+314D0	𱓐	⿰口实
U+314D1	𱓑	⿱初口
U+314D2	𱓒	⿰口庚
U+314D3	𱓓	⿰口⿰忄⿻⿻冖九丶
U+314D4	𱓔	⿰口贯
U+314D5	𱓕	⿰口弩
U+314D6	𱓖	⿰口柿
U+314D7	𱓗	⿰口耐
U+314D8	𱓘	⿰口⿱石双
U+314D9	𱓙	⿰口持
U+314DA	𱓚	⿰口骂
U+314DB	𱓛	⿰口显
U+314DC	𱓜	⿰口苳
U+314DD	𱓝	⿰口顺
U+314DE	𱓞	⿰口信
U+314DF	𱓟	⿰口胖
U+314E0	𱓠	⿰口促
U+314E1	𱓡	⿰口⿰白𪟽
U+314E2	𱓢	⿰口胜
U+314E3	𱓣	⿰口郑
U+314E4	𱓤	⿰口说
U+314E5	𱓥	⿰口𬮦
U+314E6	𱓦	⿰口洽
U+314E7	𱓧	⿰口养
U+314E8	𱓨	⿰口孨
U+314E9	𱓩	⿰口癸
U+314EA	𱓪	⿰号青
U+314EB	𱓫	⿰口样
U+314EC	𱓬	⿰口迶
U+314ED	𱓭	⿰口桍
U+314EE	𱓮	⿰口帮
U+314EF	𱓯	⿰口核
U+314F0	𱓰	⿰口热
U+314F1	𱓱	⿱古初
U+314F2	𱓲	⿰口荣
U+314F3	𱓳	⿰口罡
U+314F4	𱓴	⿰口𦮎
U+314F5	𱓵	⿰唫卩
U+314F6	𱓶	⿰口恁
U+314F7	𱓷	⿰口秘
U+314F8	𱓸	⿰口釘
U+314F9	𱓹	⿰口倮
U+314FA	𱓺	⿰口倚
U+314FB	𱓻	⿰口師
U+314FC	𱓼	⿰口針
U+314FD	𱓽	⿰口恋
U+314FE	𱓾	⿰口凍
U+314FF	𱓿	⿰口浡
U+31500	𱔀	⿰口𢈱
U+31501	𱔁	⿰口悔
U+31502	𱔂	⿰口𠅜
U+31503	𱔃	⿰口娣
U+31504	𱔄	⿰口捨
U+31505	𱔅	⿰口掩
U+31506	𱔆	⿳吅冖各
U+31507	𱔇	⿰口晡
U+31508	𱔈	⿱𠶬廾
U+31509	𱔉	⿰口逴
U+3150A	𱔊	⿰口䝨
U+3150B	𱔋	⿰合岩
U+3150C	𱔌	⿰口笼
U+3150D	𱔍	⿰口兜
U+3150E	𱔎	⿰口偎
U+3150F	𱔏	⿰口⿰禾夛
U+31510	𱔐	⿱啟口
U+31511	𱔑	⿰口惨
U+31512	𱔒	⿰口設
U+31513	𱔓	⿰口寄
U+31514	𱔔	⿰口貫
U+31515	𱔕	⿰口細
U+31516	𱔖	⿱台哉
U+31517	𱔗	⿰口裂
U+31518	𱔘	⿲口木彔
U+31519	𱔙	⿰味每
U+3151A	𱔚	⿰口菊
U+3151B	𱔛	⿺光⿺光口
U+3151C	𱔜	⿰口鄂
U+3151D	𱔝	⿰口蛤
U+3151E	𱔞	⿳吅𠀎𧘇
U+3151F	𱔟	⿰口勝
U+31520	𱔠	⿰口象
U+31521	𱔡	⿰口街
U+31522	𱔢	⿰口猪
U+31523	𱔣	⿰口割
U+31524	𱔤	⿰口窜
U+31525	𱔥	⿰口奠
U+31526	𱔦	⿰口測
U+31527	𱔧	⿰口詐
U+31528	𱔨	⿰口裒
U+31529	𱔩	⿰口𢧐
