;; -*- coding: utf-8-mcs-er -*-
HZK10-A7CA	&HZK10-A7CA;	⿰&CDP-8B6B;巿
HZK10-A7E6	&HZK10-A7E6;	⿰&CDP-8B6B;不
HZK10-A7E8	&HZK10-A7E8;	⿰&CDP-8B6B;㸦
HZK10-A7E9	&HZK10-A7E9;	⿰&CDP-8B6B;&C1-4552;
HZK10-A7EA	&HZK10-A7EA;	⿰&CDP-8B6B;互
HZK10-A7EB	&HZK10-A7EB;	⿰&CDP-8B6B;&GT-02415;
HZK10-A7EC	&HZK10-A7EC;	&CDP-8B6B;一幺
HZK10-A848	&HZK10-A848;	⿰&CDP-8B6B;&GT-09425;
HZK10-A849	&HZK10-A849;	⿰&CDP-8B6B;&M-01418;
HZK10-A84A	&HZK10-A84A;	⿰&CDP-8B6B;升
HZK10-A84B	&HZK10-A84B;	⿰&CDP-8B6B;夭
HZK10-A84C	&HZK10-A84C;	&CDP-8B6B;𠂉几
HZK10-A84D	&HZK10-A84D;	⿰&CDP-8B6B;化
HZK10-A84E	&HZK10-A84E;	⿰&CDP-8B6B;斤
HZK10-A84F	&HZK10-A84F;	⿰&CDP-8B6B;&GT-03956;
HZK10-A850	&HZK10-A850;	⿰&CDP-8B6B;&GT-01891;
HZK10-A851	&HZK10-A851;	⿰&CDP-8B6B;介
HZK10-A852	&HZK10-A852;	⿰&CDP-8B6B;从
HZK10-A853	&HZK10-A853;	⿰&CDP-8B6B;&GT-00467;
HZK10-A854	&HZK10-A854;	⿰&CDP-8B6B;&GT-02360;
HZK10-A855	&HZK10-A855;	⿰&CDP-8B6B;&GT-02420;
HZK10-A856	&HZK10-A856;	⿰&CDP-8B6B;&GT-00175;
HZK10-A867	&HZK10-A867;	&CDP-8B6B;&GT-00458;㔾
HZK10-A868	&HZK10-A868;	⿰&CDP-8B6B;月
HZK10-A869	&HZK10-A869;	⿰&CDP-8B6B;氏
HZK10-A86A	&HZK10-A86A;	⿰&CDP-8B6B;𠂔
HZK10-A86B	&HZK10-A86B;	⿰&CDP-8B6B;欠
HZK10-A86C	&HZK10-A86C;	⿰&CDP-8547;&B-A8AC;
HZK10-A86D	&HZK10-A86D;	⿰&CDP-8B6B;丹
