;; -*- coding: utf-8-mcs-er -*-
C1-472E	&I-C1-472E;	⿰⺅尹
C1-472F	&I-C1-472F;	⿰⺅夫
C1-4730	&I-C1-4730;	⿰⺅五
C1-4731	&C1-4731;	⿰⺅&GT-14544;
C1-4732	&I-C1-4732;	⿰⺅木
C1-4733	&I-C1-4733;	⿰⺅犬
C1-4734	&I-C1-4734;	⿰⺅中
C1-4735	&I-C1-4735;	⿰⺅牛
C1-4736	&C1-4736;	⿰⺅&C1-4531;
C1-4737	&I-C1-4737;	⿰⺅卬
C1-4738	&C1-4738;	⿰⺅&C1-4552;
C1-4739	&C1-4739;	⿰⺅&C1-4521;
C1-473A	&I-C1-473A;	⿱&GT-00458;止
C1-473B	&I-C1-473B;	⿰⺅&M-03118;
C1-473C	&I-C1-473C;	⿱⿱⺌一儿
C1-473D	&I-C1-473D;	⿱凶儿
C1-473E	&I-C1-473E;	&GT-01749;
C1-473F	&I-C1-473F;	⿱⺧儿
C1-4740	&C1-4740;	⿱入王
C1-4741	&I-C1-4741;	⿱龷&GT-K00059;
C1-4742	&I-C1-4742;	⿱一冉
C1-4743	&I-C1-4743;	⿰冫水
C1-4744	&I-C1-4744;	⿰歹刂
C1-4745	&I-C1-4745;	⿰开刂
C1-4746	&I-C1-4746;	⿰戈刂
C1-4747	&I-C1-4747;	⿰勿刂
C1-4748	&I-C1-4748;	⿰月刂
C1-4749	&I-C1-4749;	⿱少力
C1-474A	&I-C1-474A;	⿹勹凶
C1-474B	&I-C1-474B;	⿷匚王
C1-474C	&I-C1-474C;	⿷匚斤
C1-474D	&I-C1-474D;	⿰&CDP-8CAC;卩
C1-474E	&I-C1-474E;	⿸厃㔾
C1-474F	&I-C1-474F;	⿱士口
C1-4750	&C1-4750;	&C1-4750;
C1-4751	&I-C1-4751;	⿵⿵冂一口
C1-4752	&I-C1-4752;	⿱口巾
C1-4753	&I-C1-4753;	⿰口土
C1-4754	&I-C1-4754;	⿰口于
C1-4755	&I-C1-4755;	⿰口寸
C1-4756	&I-C1-4756;	⿱夂口
C1-4757	&I-C1-4757;	⿵&CDP-8BD6;口
C1-4758	&I-C1-4758;	⿱夕口
C1-4759	&I-C1-4759;	⿱&CDP-8AFC;口
C1-475A	&I-C1-475A;	⿰口乞
C1-475B	&I-C1-475B;	⿸𠂋口
C1-475C	&I-C1-475C;	⿰口幺
C1-475D	&I-C1-475D;	⿰口乇
C1-475E	&I-C1-475E;	⿴囗大
C1-475F	&I-C1-475F;	⿴囗口
C1-4760	&I-C1-4760;	⿴囗子
C1-4761	&I-C1-4761;	⿰&GT-K00199;川
C1-4762	&C1-4762;	⿰&GT-K00199;&C1-443E;
