;; -*- coding: utf-8-mcs-er -*-
CB00197	&I-CB00197;	⿰火孛
CB00198	&I-CB00198;	⿰火矣
CB00199	&I-CB00199;	⿰火赤
CB00200	&CB00200;	⿰火&GT-11674;
CB00201	&I-CB00201;	⿰火&M-38901;
CB00202	&I-CB00202;	⿰火農
CB00203	&I-CB00203;	⿰火赫
CB00204	&CB00204;	⿰火寮
CB00205	&CB00205;	⿰火&GT-56813;
CB00206	&I-CB00206;	⿰火耎
CB00207	&CB00207;	⿰火苪
CB00208	&CB00208;	⿰火烝
CB00209	&I-CB00209;	⿰火僉
CB00210	&I-CB00210;	⿱火儿
CB00211	&CB00211;	⿰牛句
CB00212	&I-CB00212;	⿰牛羊
CB00213	&CB00213;	⿱牛牪
CB00214	&CB00214;	⿰王⿱⿰禾刀木
CB00215	&CB00215;	⿰王巳
CB00216	&CB00216;	⿰王民
CB00217	&CB00217;	⿰王&M-17027;
CB00218	&CB00218;	⿰王回
CB00219	&CB00219;	⿰王成
CB00220	&CB00220;	⿰王&M-16264;
CB00221	&CB00221;	⿰王車
CB00222	&CB00222;	⿰王留
CB00223	&CB00223;	⿰王&M-30184;
CB00224	&CB00224;	⿰王梨
CB00225	&CB00225;	⿰王貴
CB00226	&CB00226;	⿰王黎
CB00227	&CB00227;	⿰王&M-34514;
CB00228	&I-CB00228;	⿱代巾
CB00229	&I-CB00229;	⿱匆心
CB00230	&I-CB00230;	⿰去卩
CB00231	&CB00231;	⿰可欠
CB00232	&CB00232;	⿰古頁
CB00233	&I-CB00233;	⿰⺘䀗
CB00234	&I-CB00234;	⿰⺘&M-41945;
CB00235	&CB00235;	⿰⺘&M-05718;
CB00236	&I-CB00236;	⿰⺘勾
CB00237	&CB00237;	⿰⺘壬
CB00238	&I-CB00238;	⿰⺘毛
CB00239	&I-CB00239;	⿰⺘片
CB00240	&I-CB00240;	⿰⺘王
CB00241	&I-CB00241;	⿰⺘可
CB00242	&I-CB00242;	⿰⺘只
CB00243	&I-CB00243;	⿰⺘&GT-08875;
CB00244	&I-CB00244;	⿰⺘西
CB00245	&I-CB00245;	⿰⺘豆
CB00246	&I-CB00246;	⿰⺘妻
CB00247	&I-CB00247;	⿰⺘突
CB00248	&I-CB00248;	⿰⺘致
CB00249	&I-CB00249;	⿰⺘&M-07709;
CB00250	&I-CB00250;	⿰⺘桀
CB00251	&I-CB00251;	⿰⺘堂
CB00252	&I-CB00252;	⿰⺘強
CB00253	&I-CB00253;	⿰⺘棠
CB00254	&I-CB00254;	⿰⺘&GT-36979;
CB00255	&I-CB00255;	⿰⺘歷
CB00256	&I-CB00256;	⿰⺘&GT-36564;
CB00257	&I-CB00257;	⿰⺘&GT-11066;
CB00258	&CB00258;	⿱民䖵
CB00259	&CB00259;	⿱田各
CB00260	&CB00260;	⿱白儿
CB00261	&CB00261;	⿰目尤
CB00262	&CB00262;	⿰目尼
CB00263	&CB00263;	⿰目&GT-07757;
CB00264	&CB00264;	⿰目侯
